POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE
44.0,5.0,0.7959183511037071
64.0,31.0,0.34736841739612195
39.0,23.0,0.25806451196670144
39.0,71.0,-0.2909090882644628
22.0,8.0,0.4666666511111116
87.0,24.0,0.5675675624543463
31.0,60.0,-0.31868131517932624
29.0,9.0,0.5263157756232691
41.0,49.0,-0.08888888790123459
145.0,173.0,-0.08805031418852102
65.0,19.0,0.5476190410997733
83.0,24.0,0.5514018640055901
41.0,13.0,0.5185185089163239
23.0,27.0,-0.07999999840000004
42.0,27.0,0.21739130119722752
42.0,27.0,0.21739130119722752
53.0,10.0,0.6825396717057195
43.0,10.0,0.6226414976860095
68.0,6.0,0.837837826515705
9.0,0.0,0.9999998888889013
26.0,44.0,-0.2571428534693878
15.0,9.0,0.24999998958333375
43.0,14.0,0.5087719208987382
23.0,3.0,0.7692307396449716
19.0,9.0,0.35714284438775556
29.0,14.0,0.3488372011898325
41.0,24.0,0.261538457514793
38.0,26.0,0.18749999707031256
76.0,33.0,0.39449540922481274
65.0,38.0,0.26213591978508816
73.0,35.0,0.3518518485939644
72.0,25.0,0.4845360774790095
58.0,25.0,0.3975903566555379
55.0,23.0,0.4102564049967128
28.0,12.0,0.39999999000000025
,,
43.0,13.0,0.5357142761479594
77.0,40.0,0.31623931353641616
59.0,64.0,-0.04065040617357393
45.0,19.0,0.4062499936523439
34.0,24.0,0.17241379013079672
72.0,24.0,0.49999999479166674
74.0,23.0,0.5257731904559465
28.0,0.0,0.9999999642857155
103.0,39.0,0.45070422217813927
34.0,0.0,0.9999999705882362
15.0,6.0,0.4285714081632663
5.0,4.0,0.11111109876543349
,,
35.0,67.0,-0.3137254871203384
21.0,15.0,0.16666666203703717
72.0,38.0,0.3090909062809918
53.0,3.0,0.8928571269132657
7.0,1.0,0.7499999062500118
28.0,9.0,0.5135134996347703
25.0,8.0,0.5151514995408637
20.0,9.0,0.37931033174791956
6.0,0.0,0.9999998333333611
27.0,34.0,-0.11475409647944104
11.0,2.0,0.6923076390532585
51.0,19.0,0.457142850612245
14.0,17.0,-0.09677419042663901
23.0,37.0,-0.23333332944444451
32.0,48.0,-0.19999999750000003
57.0,22.0,0.4430379690754688
47.0,25.0,0.30555555131172846
26.0,7.0,0.5757575583103771
52.0,8.0,0.7333333211111114
34.0,6.0,0.6999999825000005
50.0,15.0,0.538461530177515
34.0,68.0,-0.33333333006535953
71.0,23.0,0.5106382924400181
23.0,33.0,-0.17857142538265314
37.0,25.0,0.19354838397502608
35.0,78.0,-0.3805309700837967
55.0,29.0,0.3095238058390023
25.0,13.0,0.31578946537396146
39.0,25.0,0.21874999658203131
42.0,49.0,-0.0769230760777684
22.0,11.0,0.33333332323232356
41.0,50.0,-0.09890109781427366
29.0,69.0,-0.4081632611411912
5.0,3.0,0.24999996875000394
47.0,4.0,0.8431372383698581
48.0,34.0,0.17073170523497921
52.0,14.0,0.5757575670339763
36.0,30.0,0.09090908953168046
17.0,41.0,-0.41379309631391215
19.0,42.0,-0.3770491741467349
42.0,45.0,-0.034482758224336114
29.0,26.0,0.05454545355371903
22.0,37.0,-0.25423728382648675
6.0,3.0,0.33333329629630043
34.0,47.0,-0.16049382517908858
11.0,25.0,-0.3888888780864201
30.0,55.0,-0.294117643598616
32.0,34.0,-0.03030302984389349
6.0,2.0,0.4999999375000079
